Feature,Score
X210_USAGE,0.154719811421837
TOTAL_USAGE,0.0592521161470053
TOTAL_SESSIONS,0.00803600128576021
X209_USAGE,0.00412514732669023
X210_SESSION_COUNT,0.00326797385620914
RATE_PLAN,0.00326797385620914
X209_SESSION_COUNT,0.0014464802314369
LOCAL_USAGE,0.000910746812386121
VALUE_SEGMENT,0.000160720025715211
GENDER,0.000107146683810178
AGE,-0.000160720025715211
HANDSET_NAME,-0.000160720025715211
ROAMING_USAGE,-0.000375013393335455
ROAMING_SESSIONS_COUNT,-0.000428586735240488
LOCAL_SESSIONS_COUNT,-0.000696453444765877
CONTRACT_KEY,-0.000964320154291265
